2,2,1,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17
2,2,1,12,4,4,4,4,4,4,4,10,5,4,4,4,4,4,4,4,4,4,4,12
2,2,1,12,4,4,4,4,11,11,11,11,11,4,4,4,4,4,4,4,4,4,4,12
13,13,13,18,4,10,6,11,11,10,10,10,11,11,11,4,4,4,4,4,4,4,4,12
15,4,4,4,4,10,6,11,4,5,4,4,4,4,11,11,4,6,6,4,4,11,4,12
15,4,10,10,10,10,11,11,4,5,6,7,21,4,4,11,4,4,6,4,4,11,4,12
15,10,5,10,10,11,11,4,22,22,22,22,21,4,4,11,4,4,4,10,4,11,4,12
15,10,4,10,4,11,4,4,22,22,22,22,21,4,4,11,4,4,4,10,4,11,4,12
15,10,9,10,4,11,10,4,4,4,4,11,11,11,11,11,10,4,4,10,4,11,4,12
15,10,10,10,6,11,10,4,4,6,6,10,10,6,10,10,10,10,6,10,4,11,4,12
15,4,4,10,10,11,10,10,6,11,4,4,4,5,4,4,10,10,10,11,4,11,4,12
15,4,4,4,4,11,11,4,10,11,10,10,10,7,4,10,10,4,5,11,11,4,4,12
15,4,4,4,10,10,6,4,10,5,4,6,10,16,14,14,17,10,4,11,11,4,4,12
15,4,4,4,10,4,5,5,11,11,4,6,10,15,2,2,12,4,4,11,11,4,4,12
15,4,4,4,10,10,10,6,11,10,10,5,10,19,13,13,18,4,10,10,11,4,4,12
15,4,4,4,4,4,4,9,5,11,10,10,10,23,10,10,4,4,10,4,11,11,4,12
14,14,14,14,17,4,4,4,6,11,4,4,4,23,10,10,10,5,10,10,11,11,4,12
1,2,2,2,12,4,4,4,6,11,11,4,22,23,20,4,4,4,4,4,11,11,4,12
13,13,13,13,18,4,4,4,4,6,11,10,10,10,20,10,4,4,6,6,11,11,4,12
15,4,4,4,4,4,4,4,4,5,11,11,4,4,4,10,4,6,6,11,9,11,4,12
15,4,4,4,4,4,4,9,4,6,6,11,11,10,10,5,11,6,4,4,11,11,4,12
15,4,4,4,4,4,4,4,4,4,6,6,9,5,6,6,5,6,11,11,11,4,4,12
15,4,4,9,9,4,16,17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12
19,13,13,13,13,13,15,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18
