16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17
12,5,5,8,10,10,9,5,11,6,5,7,7,11,9,15
12,6,10,10,5,9,7,9,6,6,6,6,9,11,11,15
12,9,11,9,6,7,8,6,8,11,5,6,10,8,5,15
12,9,8,7,5,8,8,9,8,8,11,8,8,5,9,15
12,11,11,8,10,11,9,7,6,10,11,10,5,5,10,15
12,10,7,11,10,9,5,8,10,7,6,8,11,5,6,15
12,6,11,11,5,5,9,6,8,7,5,5,10,10,5,15
12,11,7,8,10,7,6,11,5,9,10,11,5,8,9,15
12,9,7,7,11,10,8,10,8,9,10,11,9,7,7,15
12,6,8,8,7,8,6,10,9,6,11,5,5,8,6,15
12,11,5,5,5,7,6,6,7,5,9,9,10,7,10,15
12,6,7,10,11,6,7,11,6,8,6,9,8,6,9,15
12,6,10,5,7,5,11,11,5,9,5,11,7,10,10,15
12,7,8,10,7,8,9,6,10,10,7,6,7,9,8,15
19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18
