16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17
15,6,7,7,6,7,6,7,7,7,7,5,5,7,9,12
15,7,4,7,7,7,7,7,7,5,8,5,7,7,9,12
15,4,7,7,7,7,7,4,7,7,7,8,5,7,9,12
15,4,7,6,7,7,7,6,7,7,6,8,7,7,7,12
15,4,7,7,7,7,7,7,21,22,22,5,7,8,7,12
15,7,5,5,7,7,7,7,21,9,10,7,7,7,7,12
15,7,7,23,20,7,20,20,20,10,4,7,5,5,7,12
15,7,5,23,7,7,7,9,21,4,4,4,4,7,6,12
15,7,5,23,7,7,7,4,21,4,7,7,7,5,6,12
15,4,5,23,8,7,6,9,21,5,7,7,7,7,7,12
15,4,7,23,4,5,6,20,20,21,10,6,7,5,6,12
15,20,20,20,20,20,20,20,6,7,7,7,7,5,7,12
15,4,5,4,5,7,4,5,6,7,7,7,7,7,7,12
15,4,4,4,5,7,8,9,10,7,9,10,4,16,14,14
19,13,13,13,13,13,13,13,13,13,13,13,13,15,1,2
