16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17
15,4,4,10,10,10,10,10,10,10,10,10,10,10,10,8,8,10,10,10,10,10,6,12
15,4,4,10,10,10,10,10,7,7,7,10,10,10,10,10,10,10,10,10,10,10,6,12
15,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,7,10,10,10,10,10,6,12
15,10,10,10,10,20,10,10,10,7,7,10,10,10,10,7,10,10,10,10,16,14,14,14
15,10,10,10,23,2,21,10,10,10,10,10,10,7,10,10,7,10,10,6,19,13,13,13
15,10,10,10,10,22,10,10,7,7,8,10,7,7,7,10,7,10,10,6,6,10,10,12
15,10,10,10,10,7,7,10,10,7,10,7,10,7,7,7,10,10,10,10,10,10,10,12
15,10,7,10,10,10,7,7,7,10,10,10,10,10,10,7,7,10,10,10,10,10,10,12
15,10,10,10,10,10,7,7,7,10,8,10,10,10,21,10,10,10,10,10,10,10,4,12
15,10,7,10,10,8,10,10,10,7,10,10,4,4,21,10,10,10,10,10,10,10,10,12
15,10,7,10,7,10,10,10,10,10,10,10,4,4,21,9,9,10,10,10,10,10,10,12
15,10,10,10,10,10,10,10,4,10,22,22,22,22,21,22,22,22,22,10,10,10,10,12
15,10,10,10,10,8,10,10,10,10,10,10,10,10,10,7,7,7,10,10,10,10,10,12
15,10,7,10,10,10,10,7,10,7,10,10,7,7,7,10,4,4,10,10,10,10,10,12
15,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12
15,10,10,10,10,10,10,10,10,10,10,10,10,6,6,10,7,7,10,10,10,10,10,12
15,9,9,10,10,10,10,8,8,8,8,10,10,10,6,6,10,10,10,10,10,10,10,12
15,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,12
14,14,14,14,14,14,14,14,17,6,6,5,10,5,6,6,16,14,14,14,14,14,14,14
2,2,2,2,2,2,2,2,12,6,6,5,10,5,6,6,15,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,12,6,6,5,10,5,6,6,15,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,12,6,6,5,10,5,6,6,15,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,12,13,13,13,13,13,13,13,15,2,2,2,2,2,2,2
