16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17
12,9,10,7,9,11,9,10,9,5,11,9,10,10,10,10,8,6,11,15
12,5,10,7,7,6,8,6,7,8,10,10,8,5,8,6,10,7,7,15
12,9,10,9,6,8,6,10,8,6,9,9,6,6,9,8,7,10,8,15
12,8,6,8,11,8,9,9,7,11,7,11,6,7,5,8,11,7,7,15
12,10,10,5,11,10,11,8,9,11,7,10,8,5,8,9,5,5,11,15
12,10,6,8,8,11,5,5,11,5,11,6,5,9,6,8,9,6,5,15
12,6,7,8,8,11,11,7,10,10,5,10,10,5,11,6,10,9,8,15
12,11,6,9,7,10,9,8,7,9,6,6,5,10,6,9,7,11,11,15
12,10,11,9,6,5,10,9,5,8,11,8,6,6,11,8,7,8,11,15
12,5,9,8,5,9,6,5,7,8,9,10,7,10,11,6,9,5,11,15
12,10,8,5,8,11,8,8,5,11,9,6,8,11,7,5,11,6,9,15
12,11,8,9,5,11,7,8,10,9,6,10,9,8,8,11,6,7,5,15
12,9,11,8,9,8,9,7,10,10,10,11,10,8,10,5,7,11,11,15
12,6,8,11,9,5,9,5,11,10,5,9,7,8,6,5,6,6,5,15
12,7,6,10,8,10,6,8,5,9,8,11,5,11,10,6,6,6,6,15
12,10,11,6,6,11,9,10,11,9,9,9,5,11,6,8,11,6,10,15
12,5,6,7,7,5,6,7,5,5,6,7,7,7,7,7,5,6,7,15
12,5,6,7,5,5,6,7,5,6,7,5,6,5,6,5,5,6,7,15
19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18
