16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17
15,9,9,7,6,7,6,7,7,7,7,5,6,7,7,12
15,9,9,7,8,7,7,7,7,7,8,5,7,7,7,12
15,4,7,7,4,7,7,4,5,7,7,8,7,7,7,12
15,4,7,6,4,8,7,22,22,4,5,8,7,7,7,12
15,4,7,7,4,7,7,21,23,4,5,7,7,8,7,12
15,7,5,7,8,7,6,21,23,4,5,7,7,7,7,12
15,7,7,7,4,7,7,21,23,4,4,4,7,5,7,12
15,7,5,7,7,7,7,21,23,4,4,4,4,7,6,12
15,7,7,7,7,7,7,21,23,4,7,7,7,5,6,12
15,4,5,7,8,7,6,21,23,5,7,8,7,7,7,12
15,4,7,7,4,5,6,20,20,9,10,8,7,5,6,12
15,4,7,7,7,7,4,5,6,7,7,7,7,5,7,12
15,4,5,4,5,7,4,5,6,7,7,6,7,6,7,12
15,4,4,4,5,7,8,9,10,7,9,10,4,5,6,12
19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18
